"dc:title","dcterms:alternative","dc:creator","dc:subject","dc:description","dc:publisher","dc:contributor","dc:type","dc:format","dc:identifier","dc:source","dc:language","dcterms:isPartOf","dcterms:spatial","dcterms:temporal","dc:rights","1000_pixel_jpg","150_pixel_jpg","SLQ_Digitool_viewer"
"Estate Map of Glenlyon Gardens, Ashgrove, Brisbane, Queensland","","Unidentified","plans maps suburbs posters land sales land auctions building blocks (land) Brisbane - Suburbs - Ashgrove Ashgrove (Qld.) Real Property--Queensland--Brisbane--Maps","Glenlyon Gardens estate map showing allotments for sale through sole agent T. M. Burke.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: map : col.","Negative number: 97489 ","Item is held by John Oxley Library, State Library of Queensland.","","Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Ashgrove, Brisbane, Queensland; -27.445681,152.991974","Undated","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=129256&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=129257","http://hdl.handle.net/10462/deriv/77831"
"Map of the St. Lucia Estate, Brisbane, 1885","","Unidentified","suburbs maps plans land sales Brisbane - Suburbs - St Lucia, 1885 St Lucia (Brisbane, Qld.)","Estate map showing land for sale at St. Lucia, bordered by the Brisbane River, St. Johns Road and Government Road. Streets in the development include Victoria Parade, May Street, Alice Street, Mabel Street and Warren Street. Advertised as 269 charming building sites to be sold on the ground on Saturday 31 October by Arthur Martin & Co., Auctioneers.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: copy print : b&w","Negative number: 96021 ","Item is held by John Oxley Library, State Library of Queensland.","","Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","St Lucia, Brisbane, Queensland; -27.494061,153.004517","1885","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=129420&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=129421","http://hdl.handle.net/10462/deriv/78217"
"Highland Estate map, Taringa, Brisbane, 1929","","Unidentified","suburbs land sales maps Brisbane - Suburbs - Taringa, 1929 Taringa (Brisbane, Qld.)","Dean's Highland Estate. The land is between Stanley Terrace and Union Street. The map shows the land for the proposed Brisbane Boy's College.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: copy print : b&w","Negative number: 96037 ","Item is held by John Oxley Library, State Library of Queensland.","","Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Taringa, Brisbane, Queensland; -27.491751,152.981293","25 May 1929","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=129452&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=129453","http://hdl.handle.net/10462/deriv/77929"
"Advertising poster for land sale at the Wellesley Estate, Wellington Point, 1889","","Unidentified","maps plans land sales land auctions sketches Wellington Point, 1889 Wellington Point (Qld.) Real Property--Queensland--Wellington Point--Maps","Sale of 401 lots along Victoria Parade, Sebastian Street, Ebro Street and Pamplone Streets in Wellington Point. The auctioneer was G. T. Bell and all attendees were offered a free lunch. Wellington Point is roughly 30 kms from Brisbane by road.","John Oxley Library, State Library of Queensland","Watson Ferguson & Co.","image","Digital format: image/jpeg Original format: copy print : b&w","Negative number: 97483 ","Item is held by John Oxley Library, State Library of Queensland.","","Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Wellington Point, Queensland; -27.509781,153.240417","1889","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=129660&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=129661","http://hdl.handle.net/10462/deriv/78383"
"Real estate map for South Toowong, Brisbane, ca. 1890","","Unidentified","suburbs maps handbills land sales Brisbane - Suburbs - Taringa, ca. 1890 Toowong (Brisbane, Qld.)","Notice of land sale 13 December 1890?. The blocks of land advertised are along Government Road and Ellerslie Crescent. Other properties are on Oxford Terrace bounded by Belle Vue Terrace and Willow Street. Terms of sale are stated. The property Ellerslie House appears on the plan. Auctioneer: John W. Todd.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: copy print : b&w","Negative number: 96038 ","Item is held by John Oxley Library, State Library of Queensland.","","Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Toowong, Brisbane, Queensland; -27.478519,152.985626","ca. 1890","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=130228&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=130229","http://hdl.handle.net/10462/deriv/78857"
"Real estate map of a section of Fig Tree Pocket, Brisbane, Queensland, 1880s","","Unidentified","maps plans Brisbane- Suburbs- Fig Tree Pocket, 1880s Fig Tree Pocket (Brisbane, Qld.)","4th Section of the Witton Estate being developed along the proposed railway line. (See detail on map) Real estate property map of an area that at the time was included in Indooroopilly. Estate map number 1721.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: copy print : b&w","Negative number: 96042 ","Item is held by John Oxley Library, State Library of Queensland.","","Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Fig Tree Pocket, Brisbane, Queensland; -27.52504,152.956436","ca.1880","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=130232&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=130233","http://hdl.handle.net/10462/deriv/78860"
"Queensport Aquarium Estate Map at Hemmant, Brisbane, Queensland, 1889","","Unidentified","maps land sales plans land auctions building blocks Brisbane- Suburbs- Hemmant, 1889 Hemmant (Brisbane, Qld.)","Advertisement for a forthcoming auction of building sites at Hemmant, Brisbane.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: copy print : b&w","Negative number: 97488 ","Item is held by John Oxley Library, State Library of Queensland.","","Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Hemmant, Brisbane, Queensland; -27.44548,153.125519","3 August, 1889","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=130288&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=130289","http://hdl.handle.net/10462/deriv/80084"
"Estate map for sale of land in Moggill, 1888","","Unidentified","suburbs land sales building blocks land auctions maps Brisbane - Suburbs - Moggill, 1888 Moggill (Brisbane, Qld.)","Moggill estate map for a land sale by public auction on Saturday, 3rd November 1888 at 11 o'clock. A local sketch shows the situation of the housing blocks. The land is advertised as adjoining the National School and being close to the ferry and railway station.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: copy print : b&w","Negative number: 96044 ","Item is held by John Oxley Library, State Library of Queensland.","","Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Moggill, Brisbane, Queensland; -27.56888,152.879684","November 1888","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=130348&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=130349","http://hdl.handle.net/10462/deriv/80281"
"Estate map for the town of Taringa, Brisbane, ca. 1880","","Unidentified","suburbs maps plans land sales Brisbane - Suburbs - Taringa Taringa (Brisbane, Qld.)","Town of Taringa, parish of Indooroopilly. Auctioneer: John W. Todd.","John Oxley Library, State Library of Queenslandx","","image","Digital format: image/jpeg Original format: copy print : b&w","Negative number: 96032 ","Item is held by John Oxley Library, State Library of Queensland.","","Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Taringa, Brisbane, Queensland; -27.491751,152.981293","ca. 1880","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=130352&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=130353","http://hdl.handle.net/10462/deriv/80284"
"Estate map of Logan Estate at Brookfield, Brisbane, 1922","","Unidentified","maps plans land sales land auctions Brisbane - Suburbs - Brookfield, 1922 Brookfield (Brisbane, Qld.)","This real estate map (no. 910) shows Upper Brookfield and Pullenvale. (Description supplied with photograph) Auctioneers: Barnes & Co. Ltd., Roma St., Brisbane. Surveyors: R.A. Hamilton & James, 171 Queen Street. Brookfield, regarded as one of Brisbane's later developing suburbs, actually was one of the earliest areas settled. The fertile country in the district was farmed as early as 1850 with dairying and small crops being the main occupation. By the early 1870s population growth warranted the establishment of the first primary school in the area. Timber getting was also an early industry and there are the remains of a number of old gold mines in the district. Brookfield remained a quiet farming community until recent years when it became one of Brisbane's 'Green Belt' suburbs with larger housing blocks preserving the pleasant bush setting. Brookfield was named by either Mrs L. Logan, an early resident, because of the abundance of meadows, creeks and gullies, or by Mrs Lucinda Brimblecombe in 1868 at a residents' meeting to give the district a name. Mrs Brimblecombe is reported to have suggested that since the area had so many flowing brooks the district should be called Brookfield. (Information taken from: Brisbane Suburbs and Localities: Information from the Queensland Place Names Board)","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: copy print : b&w","Negative number: 96043 ","Item is held by John Oxley Library, State Library of Queensland.","","Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Brookfield, Brisbane, Queensland; -27.49313,152.911865","1922","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=130356&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=130357","http://hdl.handle.net/10462/deriv/80287"
"Map of Lang Farm Estate, adjoining the Toowong Railway Station, ca. 1870s","","Unidentified","suburbs maps plans Brisbane - Suburbs - Toowong, ca. 1870s Toowong (Brisbane, Qld.)","The estate is bounded by the Brisbane River, Government Road and Moggill Road.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: copy print : b&w","Negative number: 96041 ","Item is held by John Oxley Library, State Library of Queensland.","","Accession number: 09677014 Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Toowong, Brisbane, Queensland; -27.478519,152.985626","1870-1880","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=130448&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=130449","http://hdl.handle.net/10462/deriv/79572"
"Witton Township real estate map, Indooroopilly, Brisbane, ca. 1880s","","Unidentified","maps land auctions land sales plans suburbs Brisbane - Suburbs - Indooroopilly, ca. 1880s Indooroopilly (Brisbane, Qld.)","The property of Andrew Bogle Esq. To be sold by John w. Todd, Auctioneer. The land in this direction having an area of over 70 acres with extensive river frontages and beautiful sites, will be sold in lots to suit purchasers requiring from 5 to 30 acres. (information on map) Map includes Ormond Terrace, Witton Road, Spring Street, Boundary Road, Bridge Street, Maud Street, Market Street, Rennies Road and shows the location of Witton Manor. Indooroopilly is a leafy riverside suburb in Brisbane's west and derives its name from either the Aboriginal term for running water or gully of leeches. The suburb was first settled in 1860 when Mr H C Rawnsley purchased land south of Witton Creek and in 1861 built the first house in the area, named Witton Manor, on the site of the present Nudgee Junior College. Development was slow until 1875 when a rail service was provided from Brisbane, after which houses and firms soon sprang up. In 1876 the first railway bridge was built. This was swept away in the disastrous 1893 flood, but was rebuilt. The Walter Taylor Bridge (commonly known as the Indooroopilly Toll Bridge) was built in 1936 and linked Indooroopilly to Chelmer. (Information taken from: Queensland Place Names Board: Brisbane Suburbs and Localities)","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: copy print : b&w","Negative number: 96036 ","Item is held by John Oxley Library, State Library of Queensland.","","Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Indooroopilly, Brisbane, Queensland; -27.49894,152.975754","1880-1890","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=130500&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=130501","http://hdl.handle.net/10462/deriv/79707"
"Sandringham Estate map, Parish of Indooroopilly, Queensland, ca. 1902","","Unidentified","suburbs maps land sales land auctions building blocks Brisbane - Suburbs - Kenmore, ca. 1902 Brisbane - Suburbs - Indooroopilly, ca 1902 Kenmore (Brisbane, Qld.)","Sandringham Estate map for a land auction to be held Wednesday December 10th, ca. 1902 by auctioneer C.B. Fletcher. Land for sale is in an area that is now part of the suburb of Kenmore. Cubbala Creek borders part of the land and Witton Estate is in the same area. Moggil Road is to the north. Estate Map no. 2010.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: copy print : b&w","Negative number: 96045 ","Item is held by John Oxley Library, State Library of Queensland.","","Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Kenmore, Brisbane, Queensland; -27.50843,152.938492","ca. 1902","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=130700&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=130701","http://hdl.handle.net/10462/deriv/80194"
"Estate map of Manly Beach, Manly,1887","","Unidentified","plans maps suburbs posters land sales land auctions building blocks Brisbane - Suburbs - Manly, 1887 Manly (Qld.) Real property--Queensland--Manly--Maps","Map shows a plan of all blocks for sale in the Manly Estate, bounded by Gordon Parade, Mountjoy Terrace, The Espalande, Ernest Street and Spring Street. The auction was for New Year's Day 1887 and the auctioneers were Arthur Martin & Co. Many blocks front on to Moreton Bay and Waterloo Bay.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: copy print : b&w","Negative number: 97482 ","Item is held by John Oxley Library, State Library of Queensland.","","Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Manly, Brisbane, Queensland; -27.454229,153.185822","1887","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=130844&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=130845","http://hdl.handle.net/10462/deriv/80163"
"Estate map for Riverview Estate, Oxley, Brisbane, 1884","","Unidentified","suburbs maps land sales advertisements handbills Brisbane - Suburbs - Oxley, 1884 Oxley (Brisbane, Qld.)","Map for upcoming sale of land on River Terrace, Oxley. 18 pieces of land of an acre or more, are offered for sale between River Terrace and Sherwood Road.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: copy print : b&w","Negative number: 93497 ","Item is held by John Oxley Library, State Library of Queensland.","","Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Oxley, Brisbane, Queensland; -27.553499,152.974228","1884","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=131164&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=131165","http://hdl.handle.net/10462/deriv/80107"
"Estate map for Moorooka Park, Moorooka, Brisbane, 1889","","Unidentified","maps plans suburbs land auctions land sales building blocks Brisbane - Suburbs - Moorooka, 1889 Moorooka (Brisbane, Qld.)","Moorooka Park Estate map for a land auction showing a plan of allotments to be sold on the 2nd March, 1889 by W.J. Hooker, Auctioneers, Brisbane. The sale of land allotments covers the streets that join Ipswich Road, including Spencer, Chaucer and Keats Streets, Brisbane.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg Original format: estate map : b&w","Negative number: 97478 ","Item is held by John Oxley Library, State Library of Queensland.","","Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Moorooka, Brisbane, Queensland; -27.533211,153.027725","1889","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=131176&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=131177","http://hdl.handle.net/10462/deriv/80116"
"Estate map for Lutwyche Domain, Brisbane, Queensland, 1889","","Unidentified","maps plans land sales suburbs land auctions building blocks Brisbane - Suburbs - Lutwyche, 1889 Lutwyche (Brisbane, Qld.)","Lutwyche Domain Estate map for a land auction showing a plan of allotments to be sold on the 16th February, 1889 by White & Brennan, Auctioneers, 171 Queen Street, Brisbane, Queensland. The sale of land allotments covers the areas between Gympie Road, Clarence Road, Broughton Road, Homebush Road, Brookfied Road and Government Road (later known as Stafford Road), Brisbane.","John Oxley Library, State Library of Queensland","","image","Digital format: image/jpeg; Original format: estate map : col","Negative number: 93501 ","Copied and digitised from the original map in the John Oxley Library ME 0143, 1889 Item is held by John Oxley Library, State Library of Queensland.","","Is part of: Picture Queensland ~ State Library of Queensland : digital image collection ~ Maps and Estate Maps ","Lutwyche, Brisbane, Queensland; -27.42214,153.033905","1889","Copyright expired. For further information http://www.slq.qld.gov.au/home/copyright","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=131180&custom_att_3=NLA","http://bishop.slq.qld.gov.au:80/webclient/DeliveryManager?pid=131181","http://hdl.handle.net/10462/deriv/80119"
