Title,Description,Lat,Lon,Link,ID
"Tattersall's Estate, Hamilton Estate [together on the day]","Plan of allotments to be sold on Saturday 2nd December, 1899.;Tattersall's Estate is in Ascot, Hamilton Estate overlaps into Ascot (mostly in Hamilton).",-27.435222,153.065364,http://hdl.handle.net/10462/deriv/232162,996971684702061
"Kedron View Estate, Kedron, 2nd Section, 19 Sept. 1925","Plan of allotments to be sold 19th September, 1925.;Map consists of a newspaper cutting dated Monday August 31, advertising the sale of the allotments. Included is information about the allotments including within 5 minutes walk of the new tram terminus, 96 charming residential sites and splendid elevation with good drainage.;""H.T. James, Litho.""",-27.399626,153.023676,http://hdl.handle.net/10462/deriv/251860,996971604702061
Eastleigh,Plan of allotments for sale on the ground Saturday 27th September 1919 at 3 pm.,-27.497651,153.058841,http://hdl.handle.net/10462/deriv/251861,996971624702061
Waterview Estate,Plan of allotments to be sold on the ground Saturday Feby. 28th 1920.,-27.60599,152.789086,http://hdl.handle.net/10462/deriv/280854,996970394702061
"Gaul Estate, Gatton",Plan of allotments to be sold on the ground Saturday 20th December 1902 commencing at 2 p.m.,-27.561509,152.276731,http://hdl.handle.net/10462/deriv/251733,996970374702061
"Abermain Estate, Tivoli, Ipswich",Plan of allotments to be sold 17th October 1930.;Top left hand corner of the map is missing.,-27.593691,152.771716,http://hdl.handle.net/10462/deriv/251732,996970364702061
Whitehill Road Estate,"Plan of allotments to be sold 20th May 1922.;''H.J. Hargreaves & Co., Surveyors"".;""For sale by auction on the grounds, Saturday 20 May 1922, at 3 pm.""",-23.810451,150.978695,http://hdl.handle.net/10462/deriv/251734,996970384702061
Mt. Larcombe Estate,"Plan of allotments to be sold.;Photocopy.;Relief shown by hachures.;""H.T. James, draftsman"".",-23.810451,150.978695,http://hdl.handle.net/10462/deriv/251726,996970354702061
Broadwater View Estate,"Plan of allotments to be sold 21st April, 1919.",-27.959912,153.406734,http://hdl.handle.net/10462/deriv/251705,996970694702061
Town of New Haven,"Plan of allotments.;""Being 158 splendid marine villa residences of Portions 121 & 122'",-27.255117,153.109878,http://hdl.handle.net/10462/deriv/351096,996971224702061
Paling & Eildon Hill Estates,List of persons who purchased allotments is in the manuscript collection at OM73-50 .;Plan of allotments to be sold [1910-11],-27.430842,153.020046,http://hdl.handle.net/10462/deriv/251882,996971394702061
Warrill Bank Estate,"At head of title: 11 choice cotton & vegetable farms.;Plan of allotments to be sold by auction on the ground, Saturday 1st March 1924, at 2.30 p.m.;'H.T. James, Litho.'",-27.649444,152.742014,http://hdl.handle.net/10462/deriv/251736,996970404702061
Bald Ridges estate,Plan of allotments to be sold Saturday 13th November.;Estate covers area between Rosevale and Harrisville.;Relief shown by hachures.,-27.811176,152.666322,http://hdl.handle.net/10462/deriv/207312,996970224702061
New Farm,"At head of title: Russell Association Land.;""To be sold  by public auction in the ground  at 2 p.m. sharp, Saturday 22nd October [1887], James R. Dickson & Company, Auctioneers"".;""Being Subs of Sections 7, 8, 9 and Re-Subs of Subs of Sections 1 to 6 of Portions 21, 22, 29 and 30 Parish of North Brisbane"".",-27.433428,153.072585,http://hdl.handle.net/10462/comp/2290,996971574702061
Highlands Estate,Plan of allotments for private sale.,-21.267775,143.809087,http://hdl.handle.net/10462/deriv/251720,996970264702061
Charles' Tweed Heads subdivision,"Plan of allotments to be sold by public auction at Tweed Heads Saturday 8th April, 1916.;""H.T. James, Litho.""",-28.180848,153.539257,http://hdl.handle.net/10462/deriv/251707,996971534702061
Plan of the town of Southport,"Plan of allotments of first sale of land in the town area of Southport 20th April, 1875.;Supplement to the Queensland Government Gazette of Saturday 6th March 1875.;At head of sheet: Southport Centenary Queensland 1875-1975.;At base of title: Parish of Nerang, County of Ward.",-27.965968,153.413131,http://hdl.handle.net/10462/deriv/251710,996971564702061
Laurel Estate,"Plan of allotments for sale by public auction on the ground, Saturday 8th June, 1929 at 3 p.m.;Estate covers area now in Bardon.",-27.44961,152.986819,http://hdl.handle.net/10462/deriv/251716,996970214702061
Conondale Estate,"Plan of allotments to be sold 6th December, 1906.;Auctioneers: Currie, Buchanan & Co.",-26.729342,152.717655,http://hdl.handle.net/10462/comp/2348,996970254702061
"Wendouree Estate, Cooparoo","Being subdivisions 1 to 25 of resubdivisions 93 and 94 of subdivision 2 of Portion 110, Parish of Bulimba.;Plan of allotments to be sold privately.",27.498317,153.051181,http://hdl.handle.net/10462/deriv/251849,996970474702061
Orangefield Estate,"Plan of allotments to be sold on the ground, Saturday October 21 1914.",-27.629703,152.764978,http://hdl.handle.net/10462/deriv/251735,996970294702061
Third section of Cressbrook Estate,"Plan of allotments to be sold by public auction in the Alexandra Hall, Toogoolawah on Saturday March 6th, 1909 at 3 pm.;Details published on both sides of sheet.;With 9 b&w photographs of area on verso, with text.",-27.071046,152.428474,http://hdl.handle.net/10462/comp/767,996970664702061
Plan and particulars of the Nindooimbah Estate,"Plan of allotments to be sold 7th May, 1906 at Beaudesert School of Arts.;With 6 b&w photographs.;JOL holds only photograph copy of each sheet.",-28.048702,153.047603,http://hdl.handle.net/10462/comp/2349,996970614702061
Gayton Estate,"Plan of allotments to be sold on the ground on Saturday 17th December at half-past 2 O'clock.;Estate covers area which is now in the suburb of Newmarket, Brisbane.",-27.436591,153.007109,http://hdl.handle.net/10462/deriv/251844,996970434702061
"Tarana Estate, [Holland Park]","Plan of allotments for sale on the ground, Saturday 20th November, 1926 at 3 pm.;H.T. James, Litho.",-27.518605,153.064261,http://hdl.handle.net/10462/deriv/251845,996970444702061
"Thompson's subdivision, near Cobaki Creek, Tweed Heads",Plan of allotments to be sold privately.;Library's copy has Cobaki Creek crossed out (on map) and 'Terranora' substituted.,-28.192499,153.529623,http://hdl.handle.net/10462/deriv/251873,996970484702061
"Panorama Heights [Estate], Balmoral",Plan of allotments for sale by public auction on the ground Saturday 25th June at 3 p.m.;Land for sale is resubdivision of subdivision C of portions 67 and 68 of subdivision B of portion 69. Parish of Bulimba.,-27.457388,153.070042,http://hdl.handle.net/10462/deriv/252447,996970994702061
Ocean View Estate Redcliffe,"Plan of allotments to be sold by public auction on Monday (Boxing Day) 27th December, 1915 at 2 o'clock.;One folded sheet printed both sides.;Land for sale is subdivision of portion 228. Parish of Redcliffe.",-27.219754,153.109782,http://hdl.handle.net/10462/comp/2490,996971124702061
"Sea Breeze Estate, Scarborough","Plan of allotments for sale on the ground, Boxing Day, Thursday 26th December, 1929 at 2.30.;Land for sale is resubdivision 1 to 8 of subdivisions 88, 701-703 and subdivisions 579-595, 734-734 and [743?]-744 of portions 247, 250 and 251. Parish of Redcliffe.",-27.204507,153.113601,http://hdl.handle.net/10462/deriv/252449,996971014702061
"Plan of Scarborough, Redcliffe",Plan of allotments to be sold.,-27.197866,153.112528,http://hdl.handle.net/10462/deriv/252460,996971094702061
"Reeve's Estate, Nundah",Plan of allotments to be sold by auction on the ground Saturday 5th October at 3 pm.;Allotments located between William St. and Sandgate Rd.,-27.399553,153.059001,http://hdl.handle.net/10462/deriv/251884,996971414702061
The Oak Park Estate,Plan of allotments to be sold on the ground on Saturday 13th August at 3 pm.,-27.461972,153.062501,http://hdl.handle.net/10462/deriv/251887,996971454702061
Karragaroo Estate,"Plan of allotments to be sold Saturday 30th July, 1921.",-27.625597,152.770686,http://hdl.handle.net/10462/deriv/207344,996970144702061
Fiveways Estate,"Plan of allotments to be sold by public auction on the ground Saturday 7th November, 1925 at 3 p.m.;""By authority H.J. Green, Govt Printer"" - bottom left corner.;Library holds 1 original and 1 photography copy (21 x 30 cm).",-27.615007,152.775021,http://hdl.handle.net/10462/deriv/251711,996970154702061
Windsor Castle Estate,"Estate: being subdivisions 1 to 217 of portions 263 and 264, Parish of Yeerongpilly.;Plan of allotments to be sold on the ground Saturday 31st May, 1884.",-27.527302,153.067617,http://hdl.handle.net/10462/deriv/251890,996971484702061
"The Rylatt Estate, Indooroopilly","Plan of allotments to be sold on the ground on Saturday 29th March, 1890, at 2.30 p.m.;Subs 1 to 33 of resubs 7 & 8 of sub 3 of portion 683, Parish of Indooroopilly.;""Property of the Metropolitan Freehold Land and Building Co. Ltd.""",-27.499501,152.969382,http://hdl.handle.net/10462/deriv/251889,996971474702061
"Ravensburn Estate, Old Cleveland Road","Plan of allotments to be sold on the ground Saturday August 13 at half past 2 o'clock.;Date of auction was between 1880 and 1910.;Land for sale is subdivisions of portions 209A & 210A, Bulimba.",-27.498022,153.082495,http://hdl.handle.net/10462/deriv/251850,996971494702061
Plan of the Wolston Estate,"At head of map: 54 farms containing an area of about 3000 acres to be sold by public auction at the Centennial Hall, Adelaide Street, Brisbane on Wednesday, October 16, 1901, at 11 o'clock a.m.;Farms cover areas in Mt. Ommaney, Westlake, Middle Park, Jamboree Heights, Darra, River Hills and Summer Park.;""Fronting the southern and western railway line, Brisbane river and Brisbane and Ipswich roads. County of Stanley, Parish of Oxley. Within the eight mile radius of the City of Brisbane"" -- Map.",-27.557438,152.924988,http://hdl.handle.net/10462/deriv/252490,99866454702061
Brassal Bridge Estate,"Plan of allotments to be sold by auction on the ground Saturday 23rd November, 1918.;Estate covers area now in Brassall, Ipswich.",-27.60097,152.743467,http://hdl.handle.net/10462/deriv/286407,996970184702061
Liverpool Estate,"Plan of allotments to be sold on the ground Saturday March 10th 1888 at 3 o'clock sharp.;Warwick & Sapsford, Litho.;JOL holds 1 original, 1 photocopy and 1 photography copy 21 x 30 cm.",-27.599454,152.767772,http://hdl.handle.net/10462/deriv/251702,996970134702061
East Ipswich Station Estate,"Plan of allotments to be sold on the ground Saturday 8th July, 1911 at 3 o'clock.;Sapsworth & Co., Litho.",-27.611489,152.775557,http://hdl.handle.net/10462/deriv/251712,996970164702061
Dunmore Estate,"Plan of allotments to be sold by auction on the ground, Saturdays September 2nd, 9th, 16th [1899] at 2.30 on each day.;Estate covers area now mostly in Toowong, partly in Milton.;With 1 b&w photograph of area.;""Outridge Printing Co. 2-9-99"" -- on bottom left of map.",-27.475075,152.99964,http://hdl.handle.net/10462/deriv/251713,996970174702061
Whitwood Estate,"Plan of allotments for private sale.;JOL holds 1 original and 1 photographic copy (29 x 21 cm);Land for sale is subdivisions 1 to 38 of portion 229, Parish of Goodna.",-27.591637,152.835338,http://hdl.handle.net/10462/deriv/251714,996970194702061
"The Kendall Estate, East Ipswich","Plan of allotments to be sold by auction on the ground, Saturday 4th September 1915, being resubs of subl of Subn Allot 31, Parish of Ipswich.",-27.61225,152.772703,http://hdl.handle.net/10462/deriv/251880,996970554702061
"Hartigan Estate, subdivision, Town of Murwillumbah",Plan of allotments to be sold (no date),-28.332146,153.394102,http://hdl.handle.net/10462/deriv/251881,996970564702061
Morningside Estate,"Plan of allotments to be sold on the 1st March, 1919 situated in Lowood township.",-27.464813,152.580872,http://hdl.handle.net/10462/deriv/207314,996970574702061
Dallarnil township,"Plan of allotments to be sold 7th November, [1908?]",-25.383514,152.045549,http://hdl.handle.net/10462/deriv/251877,996970524702061
"Bray Estate, Tweed River, Murwillumbah","Plan of allotments to be sold by auction at the School of Arts, Saturday 15th December [1923] at 11 o'clock.;Auction under instructions from the Permanent Trustee Co. of NSW, Sydney, trustees to the estate [of] Joshua Bray, deceased.;Date of land survey 5th October, 1923.;Land to be sold under Torren's title.",-28.321045,153.39921,http://hdl.handle.net/10462/deriv/251876,996970514702061
Plan of town allotments and suburban blocks in Davenport township,Plan of allotments to be sold on the ground on Tuesday 24th September 1889 at 2 p.m. Luncheon provided free of charge.,-27.854328,151.90108,http://hdl.handle.net/10462/deriv/251878,996970534702061
Wulkuraka Estate,"Plan of allotments to be sold Saturday 15th May, 1920.",-27.6125,152.72749,http://hdl.handle.net/10462/deriv/251736,996970584702061
"Barton Lodge Estate, Hawthorn","Plan of allotments in Barton Road to be sold by auction on Saturday 28th September, 1935 at 2.30 pm .",-27.458976,153.058449,http://hdl.handle.net/10462/deriv/251739,996970594702061
"Plan of Merrimac Estate, Merrimac, near Southport",Plan of allotments to be sold privately.,-28.040957,153.375147,http://hdl.handle.net/10462/deriv/251875,996970504702061
"City view Estate, East Ipswich","Plan of allotments to be sold on the ground on Saturday 30th August 1919, at 3 o'clock, being subs 1 to 18 of S. Allot 30, Parish of Ipswich.",-27.61225,152.772703,http://hdl.handle.net/10462/deriv/251879,996970544702061
Scriven's Paddock [Estate],"Plan of allotments to be sold by auction on the ground on Saturday 24th April, 1926 at 3 p.m.;Land for sale is subs 1 to 38, 43 to 70 & 75 of portion 141, parish of Kedron.",-27.397092,153.025263,http://hdl.handle.net/10462/deriv/252446,996970984702061
"Wecker Estate, Old Cleveland Road",Plan of allotments to be sold 24th October.,-27.5025,153.052264,http://hdl.handle.net/10462/deriv/252463,996971134702061
"The Rode Heights Estate, Kedron",Plan of allotments to be sold.;The land is now located in the suburb of Wavell Heights.,,153.038585,http://hdl.handle.net/10462/deriv/252459,996971084702061
Hamilton Tramway Estate,Plan of allotments to be sold privately.,-27.436822,153.063669,http://hdl.handle.net/10462/deriv/252450,996971024702061
Meadfoot Estate,Plan of allotments to be sold on the ground Saturday November 19 at 3 o'clock.,-27.382381,153.065493,http://hdl.handle.net/10462/deriv/251852,996971514702061
Wooloongabba Tramway Estate,"Plan of allotments to be sold on Saturday, 12th September, 1885.",-27.495819,153.04469,http://hdl.handle.net/10462/comp/2537,996971424702061
2nd section of the Paling Estate Wilston,List of persons who purchased allotments is in the manuscript collection at OM73-50.;Plan of allotments to be sold [1910-11],-27.428004,153.021312,http://hdl.handle.net/10462/deriv/251883,996971404702061
"Waratah Estate, Greenslopes","Allotments: being subs 1 to 8 of Sub 5 of Resubs 13 to 15 of Sub B of Por 169, Parish of Bulimba.;Plan of allotments for sale by auction on the ground Saturday 3rd September, 1938 at 3 pm.",-27.509375,153.053648,http://hdl.handle.net/10462/deriv/251886,996971444702061
Plan of the Union Estate,"Plan of allotments to be sold by auction Thursday 29th November at 11 o'clock by J. B. Ellis & Co., auctioneers.;Estate between Boundary and Queen St, Bowen St. and Ann St.",-27.462545,153.029355,http://hdl.handle.net/10462/deriv/251888,996971464702061
Ocean View Estate,Plan of allotments to be sold.,-28.039467,153.432333,http://hdl.handle.net/10462/deriv/251717,996970234702061
The Drysdale Estate,"Plan of allotments to be sold on the ground on Saturday 25th Octr. 1913 at 3 o'clock.;""Sapsford & Co., Litho."" -- base of map.",-27.603959,152.815962,http://hdl.handle.net/10462/deriv/251858,996971584702061
Scanlan Park Estate,"Plan of 27 farms allotments varying in area from 25 to 60 acres to be sold  by public auction, at the Central Auction Rooms, Queen Street, Brisbane, on Tuesday 15th of December at 11 o' clock.;Includes epitome of facts and purchase terms and conditions.;Relief shown by hachures.",-26.682128,152.971637,http://hdl.handle.net/10462/deriv/251718,996970244702061
Watson Estate,"Plan of allotments to be sold by auction on the ground on Saturday October 7th 1911 at 3 o'clock.;""Sapsford & Co., Litho."" -- base of map.",-27.612003,152.782702,http://hdl.handle.net/10462/deriv/251859,996971594702061
Bulcock Estate,"Plan of allotments to be sold 16th August, 1917.;Includes 4 b&w photographs of the area.",-26.805744,153.132613,http://hdl.handle.net/10462/deriv/207315,996970604702061
The Wickham Lands,"Plan of allotments for sale by public auction on the ground on Saturday 9th July, 1898 at 2 pm sharp.;Estate covers area now in Ascot and Hamilton.;Special train, free cabs, free luncheon on the ground -- Map.",-27.433927,153.073475,http://hdl.handle.net/10462/deriv/251715,996970204702061
Bergin's Hill Estate,"Plan of allotments to be sold on the ground Saturday, May 28th, 1904 at 2.30 p.m.;Original is printed on canvas.;Map has spelling Bundanba not Bundamba.",-27.608561,152.811379,http://hdl.handle.net/10462/deriv/251721,996970274702061
Stirling Estate,"Plan of allotments to be sold by auction on the ground, Saturday 7th July, 1923.",-27.586407,152.755194,http://hdl.handle.net/10462/deriv/251722,996970284702061
Marks Estate subdivision,"Plan of allotments to be sold by public auction at the Tweed Head auction rooms on Saturday 1st December, 1917 at 2 o'clock.;""Yates and Jones Ltd. - draughtsmen.""",-28.187582,153.517735,http://hdl.handle.net/10462/deriv/251708,996971544702061
Pacific Ocean Estate,"Plan of allotments to be sold 5th April, 1915, Easter Monday.",-27.965132,153.429723,http://hdl.handle.net/10462/deriv/251709,996971554702061
Teneriffe [Estate],"Plan of allotments to be sold by auction on the ground, Saturday 21st March, 1903.;Digitisation of this Real Estate map was made possible with the generous support of the Queensland Library Foundation Legacy Partners.",-27.456531,153.048643,http://hdl.handle.net/10462/deriv/251728,996970644702061
Sea Spray Estate,"Plan of allotments to be sold.;Vendors: United Estates & Investment Co.;With 4 b&w photographs of area.;Land for sale is subdivisions of portions 135 & 136, Parish of Redcliffe.",-27.253032,153.09537,http://hdl.handle.net/10462/deriv/251727,996970634702061
"Greenfields Estate, Graceville","""43 select building sites for sale by auction on the ground Saturday 19th June, 1926 at 3 pm sharp"".;Digitisation of this Real Estate map was made possible with the generous support of the Queensland Library Foundation Legacy Partners.;""H.T. James Litho.""",-27.523591,152.982194,http://hdl.handle.net/10462/deriv/251731,996970674702061
"The Newhaven Estate, Southport","Plan of 22 allotments to be sold by public auction at the City Auction Mart on Tuesday 10th April, 1888 at 11 o'clock sharp.",-27.989734,153.419109,http://hdl.handle.net/10462/deriv/251874,996970494702061
Rowlands Estate at Raceview,"Plan of allotments to be sold by public auction on the ground Saturday 20th April at 3 o'clock, 1929.;''H.J. James, Litho''.;""Rich soil farmlets only 2 miles from Ipswich Post Office"".",-27.638999,152.771223,http://hdl.handle.net/10462/deriv/251737,996970424702061
"Te-Koi Estate, Wilston","Plan of allotments to be sold by auction on the ground, Saturday 15 June, 1929 at 3 p.m.;Estate covers area now in Windsor.",-27.425652,153.023297,http://hdl.handle.net/10462/deriv/251846,996970454702061
"Kinmond Estate, on the heights of Nundah","Plan of allotments to be sold by public auction on the ground Saturday 27th Octr, 1923 at 3 o'clock.;Estate covers area now in Wavell Heights.",-27.39566,153.056266,http://hdl.handle.net/10462/deriv/251848,996970464702061
"Show Ground Estate, Zillmere","Plan of allotments to be sold 16th June, 1917.;Land for sale is resubs 1 to 140 of of sub A of pors. 221, 222 & 235, parish of Kedron.",-27.390306,153.023545,http://hdl.handle.net/10462/deriv/252461,996971104702061
"St. Olaves Estate, Yeronga","Plan of allotments to be sold 6th August, 1927.",-27.514133,153.018029,http://hdl.handle.net/10462/deriv/252445,996970974702061
"Plan of subdivisions 1 to 18, of allotments 5 to 11 of section 97, Town of Ipswich","Plan of allotments to be sold.;Above plan: For price of allotments and terms apply E. Bostock, Auctioneer, Ipswich.",-27.626091,152.757318,http://hdl.handle.net/10462/deriv/251704,996970684702061
"Millard Estate, Toowong","Land for sale is re-subdivisions 1 to 19 of subdivisions 38 and 39 of portion 244, County of Stanley, Parish of Enoggera.;Plan of allotments to be sold Saturday August 25th, 1888.",-27.480001,152.991689,http://hdl.handle.net/10462/deriv/252464,996971144702061
Rocklea Tramline Estate,"Plan of allotments to be sold 11th September, 1915.;Land for sale is subdivision of resubdivision A of subdivision 29, portion 99A. Parish of Yeeronpilly.",-27.554338,153.016634,http://hdl.handle.net/10462/deriv/252458,996971074702061
Show Ground Estate Rocklea,Land for sale is subdivisions of portion 170. Parish of Yeerongpilly.;Plan of allotments to be sold (no date),-27.548272,153.014795,http://hdl.handle.net/10462/deriv/252451,996971034702061
"Summerlands Estate, Harrisville","Plan of allotments to be sold 22 February, delayed to 21st March.;Estate located 1 mile from Harrisville, and adjacent to Churchbank railway station.",-27.773458,152.685059,http://hdl.handle.net/10462/deriv/251885,996971434702061
"Belgrave and Riverview Estate, South Toowong",Plan of allotments to be sold (undated);This area now forms part of East Taringa.;Land for sale consisting of 33 grand building sites is subdivisions 2 to 33 of subdivision A of portion 35. Parish of Indooroopilly. County of Stanley.,-27.492904,152.97947,http://hdl.handle.net/10462/deriv/251851,996971504702061
"Jetty View Estate, Redcliffe","Land for sale is subdivision 1 to 120 of portion 229. Parish of Redcliffe.;Plan of allotments to be sold Boxing Day, Saturday 26th December, 1914 at 2.30 pm.;Text and b&w photograph, with local sketch, on verso.",-27.217331,153.114696,http://hdl.handle.net/10462/comp/2480,996971254702061
Redcliffe [Estate],"Plan of allotments to be sold on the ground 1st January, 1919.",-27.224711,153.11344,http://hdl.handle.net/10462/deriv/351095,996971214702061
Gladstone Estate,"Plan of allotments to be sold by auction at the City Auction Mart on Monday 12th March at 11 a.m. without reserve.;The Brisbane Courier contains advertisements for this sale in the Saturday 3 March edition, p. 10. The date of the sale is listed as Monday 12 March, 1888.;Land for sale is subdivisions 1-120 of allotments 1, 7 & 8. Section 98. Town of Cleveland.;Warwick & Sapsford, Lith., Arthur Martin & Co., auctioneers, David Dietrichson, surveyor.;Cameron and Henzell no. 825QSL",-27.518453,153.252926,http://hdl.handle.net/10462/deriv/252831,996972994702061
"Church Hill Estate, Red Hill","Plan of allotments to be sold by public auction Saturday, 17th December ...;Land for sale is subdivisions 1 to 29, portions 772 and 773, Red Hill.",-27.4511,153.00024,http://hdl.handle.net/10462/deriv/253867,996976734702061
Kingsholme Estate,"Plan of allotments to be sold by auction Saturday, 10th October, 1885.;Text, locality map and sketch of area on verso.",-27.461458,153.047383,http://hdl.handle.net/10462/deriv/253911,996976774702061
"Tracing of re-sub.s 125 to 162 of sub.s 113 & 114 ... parish of Bulimba, county of Stanley /","Plan of allotments to be sold [20th December, 1919];Land for sale is resubdivisions 125 to 162 of subdivisions 113 & 114 of section 5 of subdivisions A & B of portion 53 & of subdivision 1 of portion 54, resubdivisions 1 to 26 of subdivisions 1 & 2 of section 7 of subdivision B of portion 53 & of subdivisions 1 of portion 54 & subdivision 163 of section 11 of subdivision 1 of portion 54.;Copy of R. P. plan prepared for registration.",-27.451508,153.06059,http://hdl.handle.net/10462/deriv/253909,996976754702061
"Westwoods Estate, Kedron","Plan of allotments to be sold [no date].;Estate covers area now in Wavell Heights.;Land for sale is subdivisions 1 to 75 of portion 124 and of subdivision 1 of portion 124, Parish of Kedron, County of Stanley.",-27.397313,153.045194,http://hdl.handle.net/10462/deriv/253912,996976784702061
"Wathana Estate, Upper Paddington","Plan of allotments to be sold Saturday, 25th June, 1927.;Estate covers area now in Bardon.;Land for sale is subdivisions of portions 829 to 833, Parish of Enoggera.",-27.451899,152.989984,http://hdl.handle.net/10462/deriv/253905,996976794702061
Daly Estate,Plan of allotments to be sold.;B & W photograph of area on verso.,-27.49443,153.070707,http://hdl.handle.net/10462/comp/2552,996976724702061
"Orient House Estate, Sutton's Beach, Redcliffe","Plan of allotments to be sold by public auction, Easter Monday, 1st April, 1929.;Land for sale is resubdivisions 1 to 13 of subdivisions 14-17 of portion 190, Parish of Redcliffe.",-27.235109,153.113708,http://hdl.handle.net/10462/deriv/253908,996976744702061
Northgate Estate,"Plan of allotments to be sold.;'Close proximity to Nudgee Beach, Cribb Island, Sandgate.';Auctioneer's name stamped on map, not printed.",-27.391255,153.074484,http://hdl.handle.net/10462/deriv/253910,996976764702061
"Walsh Estate, Scarborough","Plan of allotments to be sold Boxing Day, Monday, 26th December, 1927.;Land for sale is subdivisions of portion 255. Parish of Redcliffe.",-27.198892,153.113129,http://hdl.handle.net/10462/deriv/253899,996976704702061
Mt. Coolum Beach [Estate],"Plan of allotments to be sold Boxing Day, 26th December, 1923.;Land for sale is ... subdivision 10 of portion 169, Parish of Maroochy.;With 5 B & W photographs of area.;At head of title: The most beautiful ocean sites on the coast.",-26.533151,153.091714,http://hdl.handle.net/10462/deriv/253868,996976714702061
Plan of the Wilson Estate,"Plan of allotments to be sold by auction 9th December, -.;Land for sale is subdivision of portion 74 and 75. Sandgate. Parish of Nundah.;Map verso can be cut into 12 individual flyers advertising the sale.",-27.317446,153.066845,http://hdl.handle.net/10462/comp/2486,996972644702061
East Bundaberg,"Plan of allotments to be sold by auction Tuesday,6th June, -.",-24.861308,152.365081,http://hdl.handle.net/10462/deriv/264352,996977314702061
"Plan of portion 120v, parish of Beerwah, county of Canning, Brisbane Land agent's district, Shire of Caboolture","Plan of allotments to be sold by auction on Tuesday, 10th May, 1904.;Estate is on island in Pumicestone Channel.",-26.956584,153.077145,http://hdl.handle.net/10462/deriv/264326,996977334702061
"Red Hill Estate, Nudgee","Plan of allotments to be sold by auction on Saturday 1st November, -.;Land for sale is resubdivisions 1 to 90 of subdivision 1, of portion 225, Parish of Toombul",-27.371058,153.081275,http://hdl.handle.net/10462/deriv/264328,996977354702061
"Clontarf [Estate], Humpy Bong","Plan of allotments to be sold 26th September, 1882.;Text on verso.",-27.261668,153.078625,http://hdl.handle.net/10462/comp/2487,996972664702061
"Robinson's Paddock [Estate], Banyo","Plan of allotments to be sold 15th September, 1928.",-27.373824,153.081636,http://hdl.handle.net/10462/deriv/252486,996971924702061
Rochedale Fruit and Poultry Farmlets,Plan of allotments to be sold privately.,-27.544615,153.089011,http://hdl.handle.net/10462/deriv/257021,996974584702061
The Moorings Estate,"Plan of allotments to be sold.;Land for sale is subdivisions 43 to 58 of portion 376, Toombul.",-27.400343,153.059436,http://hdl.handle.net/10462/deriv/257020,996974574702061
Kenilworth Estate,"Plan of allotments to be sold by auction Saturday,3rd May, -.;Estate covers area now in Red Hill (between Upper Clifton Tce. and Lower Clifton Tce.);Land for sale is subdivision 1 to 7 of portions 607, 608 and 609; subdivisions 3, 5, 6, 7, 8, 9 and 10, of portions 615 and 616, Parish of North Brisbane.",-27.457623,153.01219,http://hdl.handle.net/10462/deriv/264332,996977394702061
